geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows,policy,policy_type
1,51,-86.844521,32.75687994,-78.66634949,37.5108731,03/02/20 - 03/08/20,3448,34478,0,NON
2,51,-151.2505488,63.78846948,-78.66634949,37.5108731,03/02/20 - 03/08/20,228,5715,0,NON
4,51,-111.6644603,34.29309519,-78.66634949,37.5108731,03/02/20 - 03/08/20,1824,28286,0,NON
5,51,-92.43923686,34.89977242,-78.66634949,37.5108731,03/02/20 - 03/08/20,1175,13407,0,NON
6,51,-119.6638459,37.21530826,-78.66634949,37.5108731,03/02/20 - 03/08/20,5642,109999,0,NON
8,51,-105.5478211,38.9985316,-78.66634949,37.5108731,03/02/20 - 03/08/20,1887,29327,0,NON
9,51,-72.73825768,41.57516415,-78.66634949,37.5108731,03/02/20 - 03/08/20,2052,36492,0,NON
10,51,-75.45249263,38.99497529,-78.66634949,37.5108731,03/02/20 - 03/08/20,2436,37412,0,NON
11,51,-77.0162909,38.90477389,-78.66634949,37.5108731,03/02/20 - 03/08/20,15078,285885,0,NON
12,51,-82.46641839,28.47705841,-78.66634949,37.5108731,03/02/20 - 03/08/20,15181,177300,0,NON
13,51,-83.42714021,32.63861711,-78.66634949,37.5108731,03/02/20 - 03/08/20,9886,119004,0,NON
15,51,-158.1099738,20.9951112,-78.66634949,37.5108731,03/02/20 - 03/08/20,434,8191,0,NON
16,51,-114.659414,44.38905509,-78.66634949,37.5108731,03/02/20 - 03/08/20,230,3625,0,NON
17,51,-89.14863899,40.12420083,-78.66634949,37.5108731,03/02/20 - 03/08/20,4033,54355,0,NON
18,51,-86.28183839,39.91986962,-78.66634949,37.5108731,03/02/20 - 03/08/20,2184,28059,0,NON
19,51,-93.50009012,42.07464833,-78.66634949,37.5108731,03/02/20 - 03/08/20,971,11240,0,NON
20,51,-98.3801554,38.48472707,-78.66634949,37.5108731,03/02/20 - 03/08/20,1069,11381,0,NON
21,51,-85.29055223,37.52661417,-78.66634949,37.5108731,03/02/20 - 03/08/20,4212,57671,0,NON
22,51,-91.81423318,30.9090729,-78.66634949,37.5108731,03/02/20 - 03/08/20,1938,23911,0,NON
23,51,-69.20275986,45.27432853,-78.66634949,37.5108731,03/02/20 - 03/08/20,936,19723,0,NON
24,51,-76.68717734,38.94649396,-78.66634949,37.5108731,03/02/20 - 03/08/20,80168,1333742,0,NON
25,51,-71.50397204,42.16009327,-78.66634949,37.5108731,03/02/20 - 03/08/20,3603,66218,0,NON
26,51,-85.73095291,44.8747736,-78.66634949,37.5108731,03/02/20 - 03/08/20,3974,59756,0,NON
27,51,-94.1983056,46.34911038,-78.66634949,37.5108731,03/02/20 - 03/08/20,1269,17423,0,NON
28,51,-89.65335941,32.71289227,-78.66634949,37.5108731,03/02/20 - 03/08/20,1870,21488,0,NON
29,51,-92.4774252,38.36763044,-78.66634949,37.5108731,03/02/20 - 03/08/20,1706,20575,0,NON
30,51,-109.645207,47.03342111,-78.66634949,37.5108731,03/02/20 - 03/08/20,174,3296,0,NON
31,51,-99.81085586,41.52715113,-78.66634949,37.5108731,03/02/20 - 03/08/20,713,8073,0,NON
32,51,-116.6552487,39.35618587,-78.66634949,37.5108731,03/02/20 - 03/08/20,556,8509,0,NON
33,51,-71.57124317,43.68023706,-78.66634949,37.5108731,03/02/20 - 03/08/20,847,14236,0,NON
34,51,-74.65561231,40.11017985,-78.66634949,37.5108731,03/02/20 - 03/08/20,10160,154285,0,NON
35,51,-106.1084439,34.42130099,-78.66634949,37.5108731,03/02/20 - 03/08/20,275,4841,0,NON
36,51,-75.59654322,42.92123355,-78.66634949,37.5108731,03/02/20 - 03/08/20,10801,181598,0,NON
37,51,-79.13090892,35.52603039,-78.66634949,37.5108731,03/02/20 - 03/08/20,62354,841963,0,NON
38,51,-100.4693908,47.44631042,-78.66634949,37.5108731,03/02/20 - 03/08/20,158,2099,0,NON
39,51,-82.70937701,40.41548691,-78.66634949,37.5108731,03/02/20 - 03/08/20,6911,92236,0,NON
40,51,-97.50822793,35.58346465,-78.66634949,37.5108731,03/02/20 - 03/08/20,944,10720,0,NON
41,51,-120.6052563,43.94045139,-78.66634949,37.5108731,03/02/20 - 03/08/20,482,8852,0,NON
42,51,-77.83893801,40.89670051,-78.66634949,37.5108731,03/02/20 - 03/08/20,19654,315608,0,NON
44,51,-71.52472356,41.5946389,-78.66634949,37.5108731,03/02/20 - 03/08/20,586,10470,0,NON
45,51,-80.86459716,33.87785607,-78.66634949,37.5108731,03/02/20 - 03/08/20,7893,95909,0,NON
46,51,-100.2033536,44.44664208,-78.66634949,37.5108731,03/02/20 - 03/08/20,125,1856,0,NON
47,51,-86.34341233,35.84298014,-78.66634949,37.5108731,03/02/20 - 03/08/20,17281,212216,0,NON
48,51,-99.31712097,31.44721219,-78.66634949,37.5108731,03/02/20 - 03/08/20,11745,139685,0,NON
49,51,-111.67825,39.32376871,-78.66634949,37.5108731,03/02/20 - 03/08/20,677,10298,0,NON
50,51,-72.66263037,44.07524823,-78.66634949,37.5108731,03/02/20 - 03/08/20,321,7477,0,NON
51,51,-78.66634949,37.5108731,-78.66634949,37.5108731,03/02/20 - 03/08/20,3549885,55752842,0,NON
53,51,-120.5928999,47.41163922,-78.66634949,37.5108731,03/02/20 - 03/08/20,928,16627,0,NON
54,51,-80.6137069,38.6425671,-78.66634949,37.5108731,03/02/20 - 03/08/20,29047,466185,0,NON
55,51,-89.73293306,44.63994411,-78.66634949,37.5108731,03/02/20 - 03/08/20,1332,20497,0,NON
56,51,-107.5513942,42.99953746,-78.66634949,37.5108731,03/02/20 - 03/08/20,81,1408,0,NON
72,51,-66.41466678,18.21569834,-78.66634949,37.5108731,03/02/20 - 03/08/20,358,7870,0,NON
51,1,-78.66634949,37.5108731,-86.844521,32.75687994,03/02/20 - 03/08/20,2192,34426,0,NON
51,2,-78.66634949,37.5108731,-151.2505488,63.78846948,03/02/20 - 03/08/20,201,3156,0,NON
51,4,-78.66634949,37.5108731,-111.6644603,34.29309519,03/02/20 - 03/08/20,2573,40410,0,NON
51,5,-78.66634949,37.5108731,-92.43923686,34.89977242,03/02/20 - 03/08/20,782,12281,0,NON
51,6,-78.66634949,37.5108731,-119.6638459,37.21530826,03/02/20 - 03/08/20,9803,153961,0,NON
