geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows,policy
1,51,-86.844521,32.75687994,-78.66634949,37.5108731,03/02/20 - 03/08/20,3448,34478,0
2,51,-151.2505488,63.78846948,-78.66634949,37.5108731,03/02/20 - 03/08/20,228,5715,0
4,51,-111.6644603,34.29309519,-78.66634949,37.5108731,03/02/20 - 03/08/20,1824,28286,0
5,51,-92.43923686,34.89977242,-78.66634949,37.5108731,03/02/20 - 03/08/20,1175,13407,0
6,51,-119.6638459,37.21530826,-78.66634949,37.5108731,03/02/20 - 03/08/20,5642,109999,0
8,51,-105.5478211,38.9985316,-78.66634949,37.5108731,03/02/20 - 03/08/20,1887,29327,0
9,51,-72.73825768,41.57516415,-78.66634949,37.5108731,03/02/20 - 03/08/20,2052,36492,0
10,51,-75.45249263,38.99497529,-78.66634949,37.5108731,03/02/20 - 03/08/20,2436,37412,0
11,51,-77.0162909,38.90477389,-78.66634949,37.5108731,03/02/20 - 03/08/20,15078,285885,0
12,51,-82.46641839,28.47705841,-78.66634949,37.5108731,03/02/20 - 03/08/20,15181,177300,0
13,51,-83.42714021,32.63861711,-78.66634949,37.5108731,03/02/20 - 03/08/20,9886,119004,0
15,51,-158.1099738,20.9951112,-78.66634949,37.5108731,03/02/20 - 03/08/20,434,8191,0
16,51,-114.659414,44.38905509,-78.66634949,37.5108731,03/02/20 - 03/08/20,230,3625,0
17,51,-89.14863899,40.12420083,-78.66634949,37.5108731,03/02/20 - 03/08/20,4033,54355,0
18,51,-86.28183839,39.91986962,-78.66634949,37.5108731,03/02/20 - 03/08/20,2184,28059,0
19,51,-93.50009012,42.07464833,-78.66634949,37.5108731,03/02/20 - 03/08/20,971,11240,0
20,51,-98.3801554,38.48472707,-78.66634949,37.5108731,03/02/20 - 03/08/20,1069,11381,0
21,51,-85.29055223,37.52661417,-78.66634949,37.5108731,03/02/20 - 03/08/20,4212,57671,0
22,51,-91.81423318,30.9090729,-78.66634949,37.5108731,03/02/20 - 03/08/20,1938,23911,0
23,51,-69.20275986,45.27432853,-78.66634949,37.5108731,03/02/20 - 03/08/20,936,19723,0
24,51,-76.68717734,38.94649396,-78.66634949,37.5108731,03/02/20 - 03/08/20,80168,1333742,0
25,51,-71.50397204,42.16009327,-78.66634949,37.5108731,03/02/20 - 03/08/20,3603,66218,0
26,51,-85.73095291,44.8747736,-78.66634949,37.5108731,03/02/20 - 03/08/20,3974,59756,0
27,51,-94.1983056,46.34911038,-78.66634949,37.5108731,03/02/20 - 03/08/20,1269,17423,0
28,51,-89.65335941,32.71289227,-78.66634949,37.5108731,03/02/20 - 03/08/20,1870,21488,0
29,51,-92.4774252,38.36763044,-78.66634949,37.5108731,03/02/20 - 03/08/20,1706,20575,0
30,51,-109.645207,47.03342111,-78.66634949,37.5108731,03/02/20 - 03/08/20,174,3296,0
31,51,-99.81085586,41.52715113,-78.66634949,37.5108731,03/02/20 - 03/08/20,713,8073,0
32,51,-116.6552487,39.35618587,-78.66634949,37.5108731,03/02/20 - 03/08/20,556,8509,0
33,51,-71.57124317,43.68023706,-78.66634949,37.5108731,03/02/20 - 03/08/20,847,14236,0
34,51,-74.65561231,40.11017985,-78.66634949,37.5108731,03/02/20 - 03/08/20,10160,154285,0
35,51,-106.1084439,34.42130099,-78.66634949,37.5108731,03/02/20 - 03/08/20,275,4841,0
